id,name,country_id:id,state_id:id,county_id:id
gt_zone_58,Zona 3,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_13
gt_zone_59,Zona 4,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_13
gt_zone_60,Zona 5,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_13
gt_zone_61,Zona 6,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_13
gt_zone_62,Zona 7,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_13
gt_zone_63,Zona 8,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_13
gt_zone_64,Zona 9,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_13
gt_zone_65,Zona 10,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_13
gt_zone_66,Zona 11,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_13
gt_zone_67,Zona 1,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_12
gt_zone_68,Zona 2,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_12
gt_zone_69,Zona 3,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_12
gt_zone_70,Zona 4,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_12
gt_zone_71,Zona 5,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_12
gt_zone_72,Zona 6,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_12
gt_zone_73,Zona 7,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_12
gt_zone_74,Zona 8,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_12
gt_zone_75,Zona 9,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_12
gt_zone_76,Zona 10,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_12
gt_zone_77,Zona 11,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_12
gt_zone_78,Zona 1,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_1
gt_zone_79,Zona 2,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_1
gt_zone_80,Zona 3,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_1
gt_zone_81,Zona 4,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_1
gt_zone_82,Zona 5,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_1
gt_zone_83,Zona 6,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_1
gt_zone_84,Zona 7,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_1
gt_zone_85,Zona 8,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_1
gt_zone_86,Zona 9,base.gt,base.state_gt_ave,l10n_gt_inteligos.county_gt_1
